EXIT Chart of Bit-based Message Passing in MIMO Channel
Number of transmit antenna is 4
Number of receive antenna is 4
Maximum number of bits of simulation = 800000

Eb/No     I_a      I_e,fnd  I,e_bnd
13.000000 0.000000 0.329720 0.693675 0.792051
13.000000 0.099000 0.355620 0.724924 0.818704
13.000000 0.198000 0.385540 0.758741 0.846801
13.000000 0.297000 0.420266 0.795809 0.877274
13.000000 0.396000 0.455501 0.828833 0.902590
13.000000 0.495000 0.498580 0.863877 0.927731
13.000000 0.594000 0.544425 0.895982 0.949005
13.000000 0.693000 0.597353 0.925969 0.967192
13.000000 0.792000 0.656734 0.953889 0.982966
13.000000 0.891000 0.724100 0.974840 0.992185
13.000000 0.990000 0.830580 0.994167 0.998971
16.000000 0.000000 0.417392 0.796955 0.879131
16.000000 0.099000 0.449388 0.825268 0.900527
16.000000 0.198000 0.485620 0.856049 0.922628
16.000000 0.297000 0.525496 0.884780 0.942619
16.000000 0.396000 0.566753 0.910832 0.958625
16.000000 0.495000 0.610421 0.933660 0.971997
16.000000 0.594000 0.657869 0.954003 0.982820
16.000000 0.693000 0.709061 0.970874 0.990466
16.000000 0.792000 0.764068 0.983902 0.995890
16.000000 0.891000 0.821594 0.992795 0.998651
16.000000 0.990000 0.903451 0.998851 0.999920
Total elapsed time: 37544(sec)

